review_priority,source_key,source_url,title,locale,department,category,section,chunk_index,sensitivity,review_required,public_answer_allowed,recommended_review_action,content_preview,decision,reviewer,review_date,reviewer_notes
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-erasmus-bip-konkursi-kompiuteruli-metsnierebis-sabakalavro-programis-studen,https://alte.edu.ge/ka/erasmus-bip-konkursi-kompiuteruli-metsnierebis-sabakalavro-programis-studentebistvis,Erasmus + BIP კონკურსი კომპიუტერული მეცნიერების საბაკალავრო პროგრამის სტუდენტებისთვის - აღწერა,ka,Academic Registry,deadlines_calendar,Erasmus + BIP კონკურსი კომპიუტერული მეცნიერების საბაკალავრო პროგრამის სტუდენტებისთვის - აღწერა,170,high,true,false,NEEDS_OFFICIAL_SOURCE,"მოკლევადიანი Erasmus+ შერეული ინტენსიური პროგრამა აერთიანებს ონლაინ და ადგილზე სწავლების კომპონენტებს და სტუდენტებს სთავაზობს ინფორმაციული უსაფრთხოების, ალგორითმების, ქსელებისა და თანამედროვე ტექნოლოგიების საფუძვლების სი",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-akademiuri-informatsia,https://alte.edu.ge/ka/akademiuri-informatsia,html_title,ka,Academic Registry,deadlines_calendar,html_title,2,high,true,false,NEEDS_OFFICIAL_SOURCE,📅 აკადემიური კალენდარი | ალტე უნივერსიტეტი,,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-akademiuri-informatsia,https://alte.edu.ge/ka/akademiuri-informatsia,html_title,ka,Academic Registry,deadlines_calendar,html_title,5,high,true,false,NEEDS_OFFICIAL_SOURCE,📝 გამოცდების შესახებ | ალტე უნივერსიტეტი,,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-akademiuri-kalendari,https://alte.edu.ge/ka/akademiuri-kalendari,html_title,ka,Academic Registry,deadlines_calendar,html_title,2,high,true,false,NEEDS_OFFICIAL_SOURCE,📅 აკადემიური კალენდარი | ალტე უნივერსიტეტი,,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-gamotsdebis-shesakheb,https://alte.edu.ge/ka/gamotsdebis-shesakheb,html_title,ka,Academic Registry,deadlines_calendar,html_title,2,high,true,false,NEEDS_OFFICIAL_SOURCE,📝 გამოცდების შესახებ | ალტე უნივერსიტეტი,,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-abiturientebistvis,https://alte.edu.ge/ka/abiturientebistvis,აბიტურიენტების ბროშურა,ka,Academic Registry,deadlines_calendar,აბიტურიენტების ბროშურა,3,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტის აბიტურიენტების ბროშურაში მოცემულია ინფორმაცია ალტე უნივერსიტეტის სერვისებისა და პროგრამების შესახებ. მოცემული დოკუმენტის საშუალებით, აბიტურიენტებს შესაძლებლობა აქვთ, მარტივად და სწრაფად მიიღონ პასუხები",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-akademiuri-informatsia,https://alte.edu.ge/ka/akademiuri-informatsia,აკადემიური კალენდარი,ka,Academic Registry,deadlines_calendar,აკადემიური კალენდარი,1,high,true,false,NEEDS_OFFICIAL_SOURCE,"აკადემიური კალენდარი არის ყოველწლიურად დამტკიცებული კალენდარი 2 სემესტრის მიხედვით, რომელიც შეიცავს ინფორმაციას, კვირეების მიხედვით, სასწავლო პერიოდის, შუალედური, დასკვნითი და დამატებითი გამოცდებისა, უქმე დღეების და არდა",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-akademiuri-kalendari,https://alte.edu.ge/ka/akademiuri-kalendari,აკადემიური კალენდარი,ka,Academic Registry,deadlines_calendar,აკადემიური კალენდარი,1,high,true,false,NEEDS_OFFICIAL_SOURCE,"აკადემიური კალენდარი არის ყოველწლიურად დამტკიცებული კალენდარი 2 სემესტრის მიხედვით, რომელიც შეიცავს ინფორმაციას, კვირეების მიხედვით, სასწავლო პერიოდის, შუალედური, დასკვნითი და დამატებითი გამოცდებისა, უქმე დღეების და არდა",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-akademiuri-informatsia,https://alte.edu.ge/ka/akademiuri-informatsia,აკადემიური კალენდარი - აღწერა,ka,Academic Registry,deadlines_calendar,აკადემიური კალენდარი - აღწერა,29,high,true,false,NEEDS_OFFICIAL_SOURCE,"გაეცანი ალტე უნივერსიტეტის აკადემიურ კალენდარს სემესტრების, გამოცდებისა და უქმე დღეებისთვის!",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-akademiuri-kalendari,https://alte.edu.ge/ka/akademiuri-kalendari,აკადემიური კალენდარი - აღწერა,ka,Academic Registry,deadlines_calendar,აკადემიური კალენდარი - აღწერა,44,high,true,false,NEEDS_OFFICIAL_SOURCE,"გაეცანი ალტე უნივერსიტეტის აკადემიურ კალენდარს სემესტრების, გამოცდებისა და უქმე დღეებისთვის!",,,,
