review_priority,department,category,title,source_url,sensitivity,recommended_review_action,content_preview,decision,reviewer_notes
P1,Academic Registry,deadlines_calendar,Erasmus + BIP კონკურსი კომპიუტერული მეცნიერების საბაკალავრო პროგრამის სტუდენტებისთვის - აღწერა,https://alte.edu.ge/ka/erasmus-bip-konkursi-kompiuteruli-metsnierebis-sabakalavro-programis-studentebistvis,high,NEEDS_OFFICIAL_SOURCE,"მოკლევადიანი Erasmus+ შერეული ინტენსიური პროგრამა აერთიანებს ონლაინ და ადგილზე სწავლების კომპონენტებს და სტუდენტებს სთავაზობს ინფორმაციული უსაფრთხოების, ალგორითმების, ქსელებისა და თანამედროვე ტექნოლოგიების საფუძვლების სი",,
P1,Academic Registry,deadlines_calendar,html_title,https://alte.edu.ge/ka/akademiuri-informatsia,high,NEEDS_OFFICIAL_SOURCE,📅 აკადემიური კალენდარი | ალტე უნივერსიტეტი,,
P1,Academic Registry,deadlines_calendar,html_title,https://alte.edu.ge/ka/akademiuri-informatsia,high,NEEDS_OFFICIAL_SOURCE,📝 გამოცდების შესახებ | ალტე უნივერსიტეტი,,
P1,Academic Registry,deadlines_calendar,html_title,https://alte.edu.ge/ka/akademiuri-kalendari,high,NEEDS_OFFICIAL_SOURCE,📅 აკადემიური კალენდარი | ალტე უნივერსიტეტი,,
P1,Academic Registry,deadlines_calendar,html_title,https://alte.edu.ge/ka/gamotsdebis-shesakheb,high,NEEDS_OFFICIAL_SOURCE,📝 გამოცდების შესახებ | ალტე უნივერსიტეტი,,
P1,Academic Registry,deadlines_calendar,აბიტურიენტების ბროშურა,https://alte.edu.ge/ka/abiturientebistvis,high,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტის აბიტურიენტების ბროშურაში მოცემულია ინფორმაცია ალტე უნივერსიტეტის სერვისებისა და პროგრამების შესახებ. მოცემული დოკუმენტის საშუალებით, აბიტურიენტებს შესაძლებლობა აქვთ, მარტივად და სწრაფად მიიღონ პასუხები",,
P1,Academic Registry,deadlines_calendar,აკადემიური კალენდარი,https://alte.edu.ge/ka/akademiuri-informatsia,high,NEEDS_OFFICIAL_SOURCE,"აკადემიური კალენდარი არის ყოველწლიურად დამტკიცებული კალენდარი 2 სემესტრის მიხედვით, რომელიც შეიცავს ინფორმაციას, კვირეების მიხედვით, სასწავლო პერიოდის, შუალედური, დასკვნითი და დამატებითი გამოცდებისა, უქმე დღეების და არდა",,
P1,Academic Registry,deadlines_calendar,აკადემიური კალენდარი,https://alte.edu.ge/ka/akademiuri-kalendari,high,NEEDS_OFFICIAL_SOURCE,"აკადემიური კალენდარი არის ყოველწლიურად დამტკიცებული კალენდარი 2 სემესტრის მიხედვით, რომელიც შეიცავს ინფორმაციას, კვირეების მიხედვით, სასწავლო პერიოდის, შუალედური, დასკვნითი და დამატებითი გამოცდებისა, უქმე დღეების და არდა",,
P1,Academic Registry,deadlines_calendar,აკადემიური კალენდარი - აღწერა,https://alte.edu.ge/ka/akademiuri-informatsia,high,NEEDS_OFFICIAL_SOURCE,"გაეცანი ალტე უნივერსიტეტის აკადემიურ კალენდარს სემესტრების, გამოცდებისა და უქმე დღეებისთვის!",,
P1,Academic Registry,deadlines_calendar,აკადემიური კალენდარი - აღწერა,https://alte.edu.ge/ka/akademiuri-kalendari,high,NEEDS_OFFICIAL_SOURCE,"გაეცანი ალტე უნივერსიტეტის აკადემიურ კალენდარს სემესტრების, გამოცდებისა და უქმე დღეებისთვის!",,
P1,Academic Registry,deadlines_calendar,ალტე უნივერსიტეტში „სტუდენტური კვლევითი ჰაბი“ ამოქმედდა - აღწერა,https://alte.edu.ge/ka/studenturi-kvleviti-habis-pirveli-shekhvedra-tsarmatebit-gaimarta,high,NEEDS_OFFICIAL_SOURCE,"„სტუდენტური კვლევითი ჰაბი“ ალტე უნივერსიტეტის ინსტიტუციური ინიციატივაა, რომელიც სტუდენტებს კვლევით საქმიანობაში ჩართვასა და სხვადასხვა აქტივობაში მონაწილეობაში ეხმარება. აღნიშნული პლატფორმა აძლიერებს კვლევაზე ორიენტირებუ",,
P1,Academic Registry,deadlines_calendar,ბაკალავრებისთვის,https://alte.edu.ge/ka/migheba,high,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტის საბაკალავრო პროგრამებზე სტუდენტი ირიცხება ერთიანი ეროვნული გამოცდების შედეგების საფუძველზე ან საქართველოს კანონმდებლობით დადგენილი სხვა წესის შესაბამისად. აბიტურიენტი, რომელიც წარმატებით ჩააბარებს ერთი",,
P1,Academic Registry,deadlines_calendar,ბიბლიოთეკით სარგებლობის წესები,https://alte.edu.ge/ka/biblioteka,high,NEEDS_OFFICIAL_SOURCE,"ბიბლიოთეკით სარგებლობა შეუძლია ალტე უნივერსიტეტის ყველა სტუდენტს, პროგრამების განმახორციელებლებს (აკადემიურ და მოწვეულ პერსონალს), უნივერსიტეტის კურსდამთავრებულებს, დამსაქმებლებს,რომლებიც ხელშეკრულების საფუძელზე თანამშრო",,
P1,Academic Registry,deadlines_calendar,ბიზნესის ადმინისტრირების 3-წლიანი - აღწერა,https://alte.edu.ge/ka/biznesis-administrirebis,high,NEEDS_OFFICIAL_SOURCE,შეისწავლეთ ბიზნესის ადმინისტრირება ალტე უნივერსიტეტში. საბაკალავრო პროგრამა გაძლევთ თანამედროვე მენეჯერულ ცოდნასა და პრაქტიკულ გამოცდილებას.,,
P1,Academic Registry,deadlines_calendar,ბიზნესის ადმინისტრირების 3-წლიანი - აღწერა,https://alte.edu.ge/ka/sabakalavro-programebi,high,NEEDS_OFFICIAL_SOURCE,შეისწავლეთ ბიზნესის ადმინისტრირება ალტე უნივერსიტეტში. საბაკალავრო პროგრამა გაძლევთ თანამედროვე მენეჯერულ ცოდნასა და პრაქტიკულ გამოცდილებას.,,
P1,Academic Registry,deadlines_calendar,გამოცდების შესახებ,https://alte.edu.ge/ka/akademiuri-informatsia,high,NEEDS_OFFICIAL_SOURCE,"საგამოცდო ცენტრის მისია ალტე უნივერსიტეტში საგამოცდო ცენტრი მოქმედებს საქართველოს კანონმდებლობის, უნივერსიტეტში მოქმედი დებულების და მარეგულირებელი აქტების საფუძველზე. ცენტრის მიზანია, გამოცდების (როგორც ელექტრონული, ისე",,
P1,Academic Registry,deadlines_calendar,გამოცდების შესახებ,https://alte.edu.ge/ka/gamotsdebis-shesakheb,high,NEEDS_OFFICIAL_SOURCE,"საგამოცდო ცენტრის მისია ალტე უნივერსიტეტში საგამოცდო ცენტრი მოქმედებს საქართველოს კანონმდებლობის, უნივერსიტეტში მოქმედი დებულების და მარეგულირებელი აქტების საფუძველზე. ცენტრის მიზანია, გამოცდების (როგორც ელექტრონული, ისე",,
P1,Academic Registry,deadlines_calendar,გამოცდების შესახებ - აღწერა,https://alte.edu.ge/ka/akademiuri-informatsia,high,NEEDS_OFFICIAL_SOURCE,"გაიგე გამოცდების ფორმატები და ცხრილები ალტე უნივერსიტეტში, შეამოწმე ემისში ინფორმაცია!",,
P1,Academic Registry,deadlines_calendar,გამოცდების შესახებ - აღწერა,https://alte.edu.ge/ka/gamotsdebis-shesakheb,high,NEEDS_OFFICIAL_SOURCE,"გაიგე გამოცდების ფორმატები და ცხრილები ალტე უნივერსიტეტში, შეამოწმე ემისში ინფორმაცია!",,
P1,Academic Registry,deadlines_calendar,დასაქმების ფორუმი 2025,https://alte.edu.ge/ka/karieruli-ganvitareba,high,NEEDS_OFFICIAL_SOURCE,"4 აპრილს ალტე უნივერსიტეტმა მორიგ დასაქმების ფორუმს უმასპინძლა, რომელსაც სხვადასხვა სფეროს 20 წამყვანი პარტნიორი ორგანიზაცია დაესწრო. ფორუმი უნიკალური შესაძლებლობა იყო ალტე უნივერსიტეტის სტუდენტებისთვის, დაეწყოთ კარიერულ",,
P1,Academic Registry,deadlines_calendar,დასაქმების შესაძლებლობები,https://alte.edu.ge/ka/kompiuteruli-metsnierebis-inglisurenovani,high,NEEDS_OFFICIAL_SOURCE,კომპიუტერული მეცნიერების საბაკალავრო პროგრამის კურსდამთავრებული პროფესიული კარიერის განვითარებას შეძლებს შემდეგ სფეროებში: პროგრამული უზრუნველყოფის შექმნა; ვებპროგრამირება და სერვისები; ჭკვიანი სისტემები და ნივთების ინტე,,
P1,Academic Registry,deadlines_calendar,დასაქმების შესაძლებლობები,https://alte.edu.ge/ka/kompiuteruli-metsnierebis-qartulenovani,high,NEEDS_OFFICIAL_SOURCE,კომპიუტერული მეცნიერების საბაკალავრო პროგრამის კურსდამთავრებული პროფესიული კარიერის განვითარებას შეძლებს შემდეგ სფეროებში: პროგრამული უზრუნველყოფის შექმნა; ვებ პროგრამირება და სერვისები; ჭკვიანი სისტემები და ნივთების ინტ,,
P1,Academic Registry,deadlines_calendar,დასაქმების შესაძლებლობები,https://alte.edu.ge/ka/sabakalavro-programebi,high,NEEDS_OFFICIAL_SOURCE,კომპიუტერული მეცნიერების საბაკალავრო პროგრამის კურსდამთავრებული პროფესიული კარიერის განვითარებას შეძლებს შემდეგ სფეროებში: პროგრამული უზრუნველყოფის შექმნა; ვებ პროგრამირება და სერვისები; ჭკვიანი სისტემები და ნივთების ინტ,,
P1,Academic Registry,deadlines_calendar,დასაქმების შესაძლებლობები,https://alte.edu.ge/ka/sabakalavro-programebi,high,NEEDS_OFFICIAL_SOURCE,კომპიუტერული მეცნიერების საბაკალავრო პროგრამის კურსდამთავრებული პროფესიული კარიერის განვითარებას შეძლებს შემდეგ სფეროებში: პროგრამული უზრუნველყოფის შექმნა; ვებპროგრამირება და სერვისები; ჭკვიანი სისტემები და ნივთების ინტე,,
P1,Academic Registry,deadlines_calendar,დასაქმების შესაძლებლობები,https://alte.edu.ge/ka/sabakalavro-programebi,high,NEEDS_OFFICIAL_SOURCE,"ხელოვნური ინტელექტისა და მონაცემთა ანალიტიკის ბაკალავრის ხარისხის მქონე კურსდამთავრებულები მომზადებულნი არიან კონკურენტულ და მაღალანაზღაურებად პროფესიულ პოზიციებზე დასაქმებისთვის სხვადასხვა სექტორში, მათ შორის: ტექნოლოგი",,
P1,Academic Registry,deadlines_calendar,დაფინანსება - აღწერა,https://alte.edu.ge/ka/abiturientebistvis,high,NEEDS_OFFICIAL_SOURCE,"სტუდენტებსა და აბიტურიენტებს აკადემიური მიღწევების საფუძველზე აქვთ შესაძლებლობა მოიპვონ სხვადასხვა ტიპის შიდა და გარე დაფინანსება, რომელიც შეიძლება იყოს სრული ან ნაწილობრივი.",,
P1,Academic Registry,deadlines_calendar,ემისის მოხმარების წესი,https://alte.edu.ge/ka/akademiuri-informatsia,high,NEEDS_OFFICIAL_SOURCE,"ემისი არის ალტე უნივერსიტეტის სტუდენტზე მორგებული ონლაინ პლატფორმა, რომელიც სტუდენტს სასწავლო პროცესის ეფექტურად დაგეგმვასა და ინფორმირებულობაში უწყობს ხელს. სტუდენტური პორტალი შესაძლებლობას იძლევა სტუდენტმა მიიღოს ინფორ",,
P1,Academic Registry,deadlines_calendar,კარიერული განვითარება,https://alte.edu.ge/ka/karieruli-ganvitareba,high,NEEDS_OFFICIAL_SOURCE,"სტუდენტთა და კურსდამთავრებულთა დასაქმების ხელშეწყობა და კარიერულ განვითარებაზე ზრუნვა, უნივერსიტეტის პრიორიტეტია. ალტე უნივერსიტეტი, მისიის შესაბამისად, მუდმივად ზრუნავს შექმნას ისეთი გარემო, სადაც სტუდენტებს ექნებათ შეს",,
