source_key,source_url,source_file,title,language,department,category,section,chunk_index,sensitivity,review_required,public_answer_allowed,recommended_review_action,content_preview,decision,reviewer,review_date,reviewer_notes
full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka,https://alte.edu.ge/ka/,alte_knowledge_base_ka.jsonl,მთავარი გვერდი - აღწერა,ka,Academic Registry,deadlines_calendar,მთავარი გვერდი - აღწერა,0,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტი 24 წლიანი გამოცდილებისა და ისტორიის მქონე, სრულად ავტორიზებული უმაღლესი სასწავლებელია.",,,,
full_alte_local_kb_about_alte-edu-ge-ka,https://alte.edu.ge/ka/,alte_knowledge_base_ka.jsonl,redirect_link,ka,General,about,redirect_link,1,low,false,true,APPROVE_CANDIDATE,https://www.alte.edu.ge/ka/alte-universiteti-oracle-academy-is-tsevri-gakhda,,,,
full_alte_local_kb_admissions_general_alte-edu-ge-ka-abiturientebisatvis-biznesis-online-skola-itsyeba,https://alte.edu.ge/ka/abiturientebisatvis-biznesis-online-skola-itsyeba,alte_knowledge_base_ka.jsonl,აბიტურიენტებისათვის ბიზნესის Online სკოლა იწყება - აღწერა,ka,Admissions,admissions_general,აბიტურიენტებისათვის ბიზნესის Online სკოლა იწყება - აღწერა,2,medium,false,true,REVIEW_REQUIRED,"ალტე უნივერსიტეტის ბიზნესის სკოლა XI-XII კლასის მოსწავლეებისთვის იწყებს ბიზნესის Online სკოლას - საგანმანათლებლო პროექტს, რომლის ფარგლებში მონაწილეები შეძლებენ დაესწრონ ინტენსიურ სემინარებს, მიიღონ პრაქტიკული ცოდნა და გა",,,,
full_alte_local_kb_admissions_general_alte-edu-ge-ka-abiturientebisatvis-biznesis-online-skola-itsyeba,https://alte.edu.ge/ka/abiturientebisatvis-biznesis-online-skola-itsyeba,alte_knowledge_base_ka.jsonl,აბიტურიენტებისათვის ბიზნესის Online სკოლა იწყება,ka,Admissions,admissions_general,აბიტურიენტებისათვის ბიზნესის Online სკოლა იწყება,1,medium,false,true,REVIEW_REQUIRED,"ალტე უნივერსიტეტის ბიზნესის სკოლა XI-XII კლასის მოსწავლეებისთვის იწყებს ბიზნესის Online სკოლას - საგანმანათლებლო პროექტს, რომლის ფარგლებში მონაწილეები შეძლებენ დაესწრონ ინტენსიურ სემინარებს, მიიღონ პრაქტიკული ცოდნა და გა",,,,
full_alte_local_kb_admissions_general_alte-edu-ge-ka-abiturientebisatvis-biznesis-online-skola-itsyeba,https://alte.edu.ge/ka/abiturientebisatvis-biznesis-online-skola-itsyeba,alte_knowledge_base_ka.jsonl,html_title,ka,Admissions,admissions_general,html_title,2,medium,false,true,REVIEW_REQUIRED,აბიტურიენტებისათვის ბიზნესის Online სკოლა იწყება,,,,
full_alte_local_kb_admissions_general_alte-edu-ge-ka-abiturientebisatvis-biznesis-online-skola-itsyeba-2,https://alte.edu.ge/ka/abiturientebisatvis-biznesis-online-skola-itsyeba-2,alte_knowledge_base_ka.jsonl,redirect_link,ka,Admissions,admissions_general,redirect_link,5,medium,false,true,REVIEW_REQUIRED,https://alte.edu.ge/ka/abiturientebisatvis-biznesis-online-skola-itsyeba,,,,
full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-abiturientebisatvis-biznesis-online-skola-itsyeba-2,https://alte.edu.ge/ka/abiturientebisatvis-biznesis-online-skola-itsyeba-2,alte_knowledge_base_ka.jsonl,მთავარი გვერდი - აღწერა,ka,Academic Registry,deadlines_calendar,მთავარი გვერდი - აღწერა,1,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტი 24 წლიანი გამოცდილებისა და ისტორიის მქონე, სრულად ავტორიზებული უმაღლესი სასწავლებელია.",,,,
full_alte_local_kb_international_admissions_alte-edu-ge-ka-abiturientebistvis,https://alte.edu.ge/ka/abiturientebistvis,alte_knowledge_base_ka.jsonl,აბიტურიენტებისათვის - აღწერა,ka,International Admissions,international_admissions,აბიტურიენტებისათვის - აღწერა,7,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტში თანამედროვე, საერთაშორისო სტანდარტების შესაბამის, პრაქტიკაზე ორიენტირებულ განათლებას მიიღებ და დაეუფლები 21-ე საუკუნის ყველაზე მოთხოვნად, პროფესიებს მაღალტექნოლოგიურ, ინოვაციურ გარემოში.",,,,
full_alte_local_kb_medicine_md_alte-edu-ge-ka-abiturientebistvis,https://alte.edu.ge/ka/abiturientebistvis,alte_knowledge_base_ka.jsonl,აბიტურიენტებისათვის,ka,Medicine,medicine_md,აბიტურიენტებისათვის,1,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტში თანამედროვე, საერთაშორისო სტანდარტების შესაბამის, პრაქტიკაზე ორიენტირებულ განათლებას მიიღებ და დაეუფლები 21-ე საუკუნის ყველაზე მოთხოვნად, პროფესიებს მაღალტექნოლოგიურ, ინოვაციურ გარემოში. საბაკალავრო პრ",,,,
full_alte_local_kb_admissions_general_alte-edu-ge-ka-abiturientebistvis,https://alte.edu.ge/ka/abiturientebistvis,alte_knowledge_base_ka.jsonl,html_title,ka,Admissions,admissions_general,html_title,2,medium,false,true,REVIEW_REQUIRED,აბიტურიენტებისთვის | ალტე უნივერსიტეტი,,,,
full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-abiturientebistvis,https://alte.edu.ge/ka/abiturientebistvis,alte_knowledge_base_ka.jsonl,აბიტურიენტების ბროშურა,ka,Academic Registry,deadlines_calendar,აბიტურიენტების ბროშურა,3,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტის აბიტურიენტების ბროშურაში მოცემულია ინფორმაცია ალტე უნივერსიტეტის სერვისებისა და პროგრამების შესახებ. მოცემული დოკუმენტის საშუალებით, აბიტურიენტებს შესაძლებლობა აქვთ, მარტივად და სწრაფად მიიღონ პასუხები",,,,
