source_id,question,source_title,source_file,topic,department,answer_policy,handover_recommended,suggested_decision,reviewer_decision,reviewer_comment
alte_required_program_catalog_001,რა პროგრამები აქვს ალტე უნივერსიტეტს?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_002,რა ენაზე ისწავლება პროგრამა?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_003,რამდენი ECTS აქვს პროგრამას?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_004,რა წინაპირობებია პროგრამაზე ჩარიცხვისთვის?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_005,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - საქართველოს?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_006,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - ინტელექტუალური?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_007,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - სამართლის და სოციალურ მეცნიერებათა სკოლა?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_008,"საგანმანათლებლო პროგრამები: რა წერია ნაწილში - გამოიკვლევს კონკრეტულ შემთხვევას, აკვირდება ქცევას, ახდენს მის კლასიფირებასა და?",საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_009,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - № სასწავლო კურსის დასახელება?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_010,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - პრაქტიკა 1-21;?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_011,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - სახელმწიფო ენა და აკადემიური?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_012,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - სამართლის და სოციალურ მეცნიერებათა სკოლა?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
