source_key,title,category,department,language,source_domain,status,review_required,sensitivity,stale_after_days,content_preview,recommended_action,decision,reviewer,review_date,reviewer_notes,allowed_decisions,decision_guidance
alte_admissions_general_v1,Master admission guidance - EN,admissions,,en,alte.edu.ge,approved,true,medium,90,"For master's admission guidance, the assistant can collect contact details and route the request to the Admissions team. Exact deadlines, documents and requirements must be confirm",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"APPROVE only if official admissions source is confirmed. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_admissions_general_v1,Bachelor admission guidance - KA,admissions,,ka,alte.edu.ge,approved,true,medium,90,"ბაკალავრიატზე ჩარიცხვის ზოგადი კონსულტაციისთვის ბოტს შეუძლია შეაგროვოს საკონტაქტო ინფორმაცია და გადაამისამართოს მოთხოვნა Admissions გუნდთან. ზუსტი ვადები, დოკუმენტები და მოთხოვნები",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"APPROVE only if official admissions source is confirmed. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_test_admissions_general_v1,Bachelor admissions overview - KA,admissions,,ka,alte.edu.ge,review_required,true,medium,90,"ბაკალავრიატზე ჩარიცხვის ზოგადი კონსულტაციისას ბოტმა შეიძლება აუხსნას, რომ მოთხოვნა გადაეცემა Admissions გუნდს და სთხოვოს საკონტაქტო მონაცემები. კონკრეტული ვადები, მოთხოვნები და დოკ",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"APPROVE only if official admissions source is confirmed. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_test_admissions_general_v1,Master admissions overview - KA,admissions,,ka,alte.edu.ge,review_required,true,medium,90,მაგისტრატურაზე ჩარიცხვის ზოგადი კონსულტაციისას ბოტმა არ უნდა დაასახელოს დაუდასტურებელი ვადები ან მოთხოვნები. მომხმარებელს უნდა შესთავაზოს კონსულტანტთან დაკავშირება და საჭიროების შე,APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"APPROVE only if official admissions source is confirmed. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_test_admissions_documents_v1,Required documents general guidance - KA,admissions,,ka,alte.edu.ge,review_required,true,medium,90,"ჩარიცხვისთვის საჭირო დოკუმენტების ზუსტი სია განსხვავდება პროგრამისა და აპლიკანტის სტატუსის მიხედვით. ზოგადად შეიძლება საჭირო გახდეს პირადობის დამადასტურებელი დოკუმენტი, განათლების ",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"APPROVE only if official admissions source is confirmed. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_test_contact_v1,General contact guidance - EN,contact,,en,alte.edu.ge,review_required,true,low,90,"For Alte University contact questions, direct the user to the official website or admissions consultation channel. Exact address, phone and email details require official confirmat",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"APPROVE only if official contact source is confirmed. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_test_contact_v1,General contact guidance - KA,contact,,ka,alte.edu.ge,review_required,true,low,90,"ალტე უნივერსიტეტთან დაკავშირებისთვის გამოიყენე ოფიციალური ვებგვერდი ან ჩარიცხვის/კონსულტაციის არხი. ზუსტი მისამართი, ტელეფონი და ელფოსტა საჭიროებს ოფიციალურ გადამოწმებას, ამიტომ ბო",APPROVE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,"APPROVE only if official contact source is confirmed. If unsure, choose NEEDS_OFFICIAL_SOURCE."
alte_test_deadlines_v1,Admissions deadlines safe answer - EN,deadlines,,en,join.alte.edu.ge,review_required,true,high,30,"The bot must not invent exact application or admission deadlines. If no current approved source is available, it should route the question to Admissions or Academic Registry for co",NEEDS_OFFICIAL_SOURCE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,Default to NEEDS_OFFICIAL_SOURCE or HANDOVER_ONLY. Do not approve deadlines without official source.
alte_test_deadlines_v1,Admissions deadlines safe answer - KA,deadlines,,ka,alte.edu.ge,review_required,true,high,30,"ჩარიცხვის ან განაცხადის ზუსტი ვადები ბოტმა არ უნდა გამოიგონოს. თუ აქტიური დამტკიცებული წყარო არ არის, უნდა მიუთითოს, რომ ვადა უნდა დადასტურდეს Admissions გუნდთან ან Academic Regist",NEEDS_OFFICIAL_SOURCE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,Default to NEEDS_OFFICIAL_SOURCE or HANDOVER_ONLY. Do not approve deadlines without official source.
alte_test_finance_v1,Tuition and fees safe answer - EN,finance,,en,join.alte.edu.ge,review_required,true,high,30,"The bot must not invent exact tuition or fee amounts. If no approved current source is available, it should say that exact tuition must be confirmed by the official source, Finance",NEEDS_OFFICIAL_SOURCE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,Default to NEEDS_OFFICIAL_SOURCE or HANDOVER_ONLY. Do not approve tuition/fees without official source.
alte_finance_safe_v1,Tuition and finance safe handover,finance,,en,alte.edu.ge,approved,true,high,30,"Exact tuition, fees, payment schedules and scholarship details must be verified by Finance or Admissions from an approved current source. The assistant should not invent prices and",NEEDS_OFFICIAL_SOURCE,,,,,APPROVE|REWRITE|ARCHIVE|HANDOVER_ONLY|NEEDS_OFFICIAL_SOURCE,Default to NEEDS_OFFICIAL_SOURCE or HANDOVER_ONLY. Do not approve tuition/fees without official source.
